,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Tournament
0,MADI,Lwazi,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,RSA,ITA,0,Player,OLY2020
1,CARD,Devon,16:08,16,8,0,2,0,1,0,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,0,RSA,ITA,0,Player,OLY2020
2,REZELMAN,Timothy,14:02,14,2,1,2,1,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,1,RSA,ITA,0,Player,OLY2020
3,BADENHORST,Nardus,14:34,14,34,0,1,0,1,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,0,RSA,ITA,0,Player,OLY2020
4,LAURENSON,Cameron Bain,10:59,10,59,0,1,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,RSA,ITA,0,Player,OLY2020
5,STONE,Ross,24:27:00,24,27,1,4,0,2,,,,,0,1,,,,,,,1,1,1,,2,2,0,2,,,,,,,,0,RSA,ITA,0,Player,OLY2020
6,EVEZARD,Jason,24:30:00,24,30,0,1,,,,,,,0,1,,,,,,,,,1,,,,0,1,1,,,,1,,,2,RSA,ITA,0,Player,OLY2020
7,RODDA,Nicholas,21:46,21,46,0,5,0,2,,,,,0,2,0,1,,,,,,,,,1,1,0,1,,,,,,,,0,RSA,ITA,0,Player,OLY2020
8,MARGRO,Yaseen,15:53,15,53,0,1,0,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,RSA,ITA,0,Player,OLY2020
9,MAYMAN,Mogamad Farouk,12:52,12,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RSA,ITA,0,Player,OLY2020
10,NEILL,Liam,18:48,18,48,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,RSA,ITA,0,Player,OLY2020
11,STEWART,Donn,18:01,18,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,RSA,ITA,0,Player,OLY2020
12,,,,,,2,17,1,9,0,1,,,0,5,0,1,,,,,1,1,10,3,4,3,0,4,4,1,,,2,,,7,RSA,ITA,0,Team,OLY2020
13,Del LUNGO,Marco,16:00,16,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,ITA,RSA,1,Player,OLY2020
14,Di FULVIO,Francesco,21:41,21,41,5,10,0,2,,,1,2,2,2,,,,,,,2,4,,1,1,,3,3,,,,,,,,0,ITA,RSA,1,Player,OLY2020
15,LUONGO,Stefano,20:49,20,49,2,2,,,,,,,1,1,,,,,,,1,1,,,1,,1,1,1,,,,,,,1,ITA,RSA,1,Player,OLY2020
16,PRESCIUTTI,Nicholas,19:12,19,12,2,2,,,,,,,,,,,,,,,2,2,1,1,1,,,,1,,,,,,,1,ITA,RSA,1,Player,OLY2020
17,VELOTTO,Alessandro,19:10,19,10,2,2,,,,,,,1,1,,,,,,,1,1,,4,,,,,,,,,,,,0,ITA,RSA,1,Player,OLY2020
18,RENZUTO IODICE,Vincenzo,21:38,21,38,1,3,0,1,,,,,1,1,,,,,,,0,1,1,3,1,,,,1,,,,,,,1,ITA,RSA,1,Player,OLY2020
19,ECHENIQUE,Gonzalo,23:41,23,41,2,3,1,1,0,1,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,0,ITA,RSA,1,Player,OLY2020
20,FIGARI,Niccolo,16:01,16,1,2,3,1,2,,,,,,,,,,,,,1,1,,,1,1,,,,1,,,,,,1,ITA,RSA,1,Player,OLY2020
21,BODEGAS,Michael Alexandre,16:13,16,13,2,7,0,1,2,4,,,0,1,,,,,,,0,1,2,2,,,,,,,,,,,,0,ITA,RSA,1,Player,OLY2020
22,AICARDI,Matteo,15:47,15,47,2,3,,,0,1,,,1,1,,,,,,,1,1,1,2,,,,,1,,,,,,,1,ITA,RSA,1,Player,OLY2020
23,DOLCE,Vincenzo,17:48,17,48,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,1,,,2,ITA,RSA,1,Player,OLY2020
