,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
0,MADI,Lwazi,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,RSA,ITA,L,Player
1,CARD,Devon,16:08,16.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.0,RSA,ITA,L,Player
2,REZELMAN,Timothy,14:02,14.0,2.0,1.0,2.0,1.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,ITA,L,Player
3,BADENHORST,Nardus,14:34,14.0,34.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,0.0,RSA,ITA,L,Player
4,LAURENSON,Cameron Bain,10:59,10.0,59.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,RSA,ITA,L,Player
5,STONE,Ross,24:27,24.0,27.0,1.0,4.0,0.0,2.0,,,,,0.0,1.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,0.0,2.0,,,,,,,,0.0,RSA,ITA,L,Player
6,EVEZARD,Jason,24:30,24.0,30.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,0.0,1.0,1.0,,,,1.0,,,2.0,RSA,ITA,L,Player
7,RODDA,Nicholas,21:46,21.0,46.0,0.0,5.0,0.0,2.0,,,,,0.0,2.0,0.0,1.0,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,0.0,RSA,ITA,L,Player
8,MARGRO,Yaseen,15:53,15.0,53.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,RSA,ITA,L,Player
9,MAYMAN,Mogamad Farouk,12:52,12.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,ITA,L,Player
10,NEILL,Liam,18:48,18.0,48.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,RSA,ITA,L,Player
11,STEWART,Donn,18:01,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,ITA,L,Player
12,,,,,,2.0,17.0,1.0,9.0,0.0,1.0,,,0.0,5.0,0.0,1.0,,,,,1.0,1.0,10.0,3.0,4.0,3.0,0.0,4.0,4.0,1.0,,,2.0,,,7.0,RSA,ITA,L,Team
13,Del LUNGO,Marco,16:00,16.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,ITA,RSA,W,Player
14,Di FULVIO,Francesco,21:41,21.0,41.0,5.0,10.0,0.0,2.0,,,1.0,2.0,2.0,2.0,,,,,,,2.0,4.0,,1.0,1.0,,3.0,3.0,,,,,,,,0.0,ITA,RSA,W,Player
15,LUONGO,Stefano,20:49,20.0,49.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,ITA,RSA,W,Player
16,PRESCIUTTI,Nicholas,19:12,19.0,12.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,ITA,RSA,W,Player
17,VELOTTO,Alessandro,19:10,19.0,10.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,4.0,,,,,,,,,,,,0.0,ITA,RSA,W,Player
18,RENZUTO IODICE,Vincenzo,21:38,21.0,38.0,1.0,3.0,0.0,1.0,,,,,1.0,1.0,,,,,,,0.0,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,1.0,ITA,RSA,W,Player
19,ECHENIQUE,Gonzalo,23:41,23.0,41.0,2.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,0.0,ITA,RSA,W,Player
20,FIGARI,Niccolo,16:01,16.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,ITA,RSA,W,Player
21,BODEGAS,Michael Alexandre,16:13,16.0,13.0,2.0,7.0,0.0,1.0,2.0,4.0,,,0.0,1.0,,,,,,,0.0,1.0,2.0,2.0,,,,,,,,,,,,0.0,ITA,RSA,W,Player
22,AICARDI,Matteo,15:47,15.0,47.0,2.0,3.0,,,0.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,1.0,ITA,RSA,W,Player
23,DOLCE,Vincenzo,17:48,17.0,48.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,2.0,ITA,RSA,W,Player
24,NICOSIA,Gianmarco,16:00,16.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ITA,RSA,W,Player
25,,,,,,21.0,36.0,2.0,7.0,2.0,6.0,1.0,2.0,6.0,7.0,,,,,,,10.0,14.0,6.0,18.0,6.0,2.0,4.0,4.0,5.0,1.0,,,1.0,,,7.0,ITA,RSA,W,Team
26,NAGY,Viktor,31:43,31.0,43.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,HUN,GRE,L,Player
27,ANGYAL,Daniel,17:57,17.0,57.0,2.0,4.0,,,1.0,1.0,,,1.0,2.0,,,,,,,0.0,1.0,1.0,,1.0,,,,2.0,,,,,,,2.0,HUN,GRE,L,Player
28,MANHERCZ,Krisztian,20:31,20.0,31.0,1.0,7.0,0.0,3.0,,,,,1.0,3.0,,,,,,,0.0,1.0,,,1.0,,,,,,,,,,,0.0,HUN,GRE,L,Player
29,ZALANKI,Gergo,26:30,26.0,30.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,1.0,,,,,,2.0,HUN,GRE,L,Player
30,VAMOS,Marton,25:36,25.0,36.0,0.0,3.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,0.0,HUN,GRE,L,Player
31,HOSNYANSZKY,Norbert,7:09,7.0,9.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,HUN,GRE,L,Player
32,PASZTOR,Matyas,12:18,12.0,18.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,2.0,HUN,GRE,L,Player
33,JANSIK,Szilard,9:29,9.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,HUN,GRE,L,Player
34,ERDELYI,Balazs,16:36,16.0,36.0,3.0,7.0,1.0,3.0,,,,,1.0,3.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,HUN,GRE,L,Player
35,VARGA,Denes,29:17,29.0,17.0,3.0,11.0,0.0,4.0,,,,,2.0,3.0,0.0,2.0,,,,,1.0,2.0,,1.0,3.0,1.0,,,,,,,,,,0.0,HUN,GRE,L,Player
36,MEZEI,Tamas,14:20,14.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,HUN,GRE,L,Player
37,HARAI,Balazs,12:34,12.0,34.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,3.0,HUN,GRE,L,Player
38,,,,,,9.0,38.0,1.0,14.0,1.0,1.0,,,5.0,15.0,0.0,3.0,,,,,2.0,5.0,3.0,6.0,8.0,5.0,3.0,4.0,10.0,2.0,,1.0,2.0,,,15.0,HUN,GRE,L,Team
39,ZERDEVAS,Emmanouil,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,HUN,W,Player
40,GENIDOUNIAS,Konstantinos,30:29,30.0,29.0,2.0,4.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,3.0,,0.0,1.0,2.0,,,,,,,2.0,GRE,HUN,W,Player
41,SKOUMPAKIS,Dimitrios,11:39,11.0,39.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,3.0,,,,,,,3.0,GRE,HUN,W,Player
42,KAPOTSIS,Marios,16:31,16.0,31.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,GRE,HUN,W,Player
43,FOUNTOULIS,Ioannis,28:45,28.0,45.0,3.0,7.0,0.0,3.0,,,,,3.0,4.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,GRE,HUN,W,Player
44,PAPANASTASIOU,Alexandros,20:16,20.0,16.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,GRE,HUN,W,Player
45,DERVISIS,Georgios,3:52,3.0,52.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,3.0,GRE,HUN,W,Player
46,ARGYROPOULOS KANAKAKIS,Stylianos,18:48,18.0,48.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,1.0,,,,,,3.0,GRE,HUN,W,Player
47,MOURIKIS,Konstantinos,11:01,11.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,GRE,HUN,W,Player
48,KOLOMVOS,Christodoulos,14:28,14.0,28.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,2.0,GRE,HUN,W,Player
